deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.000010,1.23E-06,0.00245549,10,0.8,0.2,0,3258010000,0.44051,0.590032,1.07E-07,0.998781,2.51E-08,4.34E-05,1.09E-07
0.000010,8.65E-07,0.00115274,10,0.8,0.3,0,4626670000,0.38175,0.706505,7.41E-08,0.998781,2.51E-08,2.98E-05,7.48E-08
0.000010,6.92E-07,0.000692385,10,0.8,0.4,0,5777140000,0.337069,0.822251,5.71E-08,0.998781,2.51E-08,2.28E-05,5.72E-08
0.000010,5.93E-07,0.000474207,10,0.8,0.5,0,6748110000,0.301616,0.938492,4.67E-08,0.998781,2.51E-08,1.85E-05,4.64E-08
0.000010,5.32E-07,0.000354454,10,0.8,0.6,0,7523310000,0.272499,1.05658,3.97E-08,0.998781,2.51E-08,1.56E-05,3.91E-08
0.000010,4.91E-07,0.000280402,10,0.8,0.7,0,8151560000,0.248229,1.17618,3.47E-08,0.998781,2.51E-08,1.35E-05,3.39E-08
0.000010,4.58E-07,0.000229218,10,0.8,0.8,0,8725330000,0.227848,1.2963,3.10E-08,0.998781,2.51E-08,1.19E-05,3.00E-08
0.000050,1.19E-05,0.0474522,10,0.8,0.1,0,337181000,0.523973,0.469499,1.02E-06,0.998731,1.25E-07,0.000411784,1.03E-06
0.000050,6.14E-06,0.0122786,10,0.8,0.2,0,651540000,0.440515,0.590024,5.37E-07,0.99873,1.25E-07,0.00021686,5.45E-07
0.000050,4.32E-06,0.00576423,10,0.8,0.3,0,925247000,0.381749,0.706508,3.71E-07,0.99873,1.25E-07,0.000148942,3.74E-07
0.000050,3.46E-06,0.00346225,10,0.8,0.4,0,1155320000,0.337075,0.822232,2.85E-07,0.99873,1.25E-07,0.000113782,2.86E-07
0.000050,2.96E-06,0.00237126,10,0.8,0.5,0,1349490000,0.301614,0.938497,2.34E-07,0.99873,1.25E-07,9.23E-05,2.32E-07
0.000050,2.66E-06,0.00177234,10,0.8,0.6,0,1504600000,0.272508,1.05654,1.99E-07,0.998729,1.25E-07,7.78E-05,1.96E-07
0.000050,2.45E-06,0.00140207,10,0.8,0.7,0,1630240000,0.248227,1.17619,1.73E-07,0.998729,1.25E-07,6.74E-05,1.69E-07
0.000050,2.29E-06,0.00114614,10,0.8,0.8,0,1744990000,0.227845,1.29631,1.55E-07,0.998729,1.25E-07,5.98E-05,1.50E-07
0.000100,2.37E-05,0.0949154,10,0.8,0.1,0,168571000,0.523969,0.469504,2.04E-06,0.998668,2.51E-07,0.000823679,2.07E-06
0.000100,1.23E-05,0.0245601,10,0.8,0.2,0,325732000,0.440513,0.590026,1.07E-06,0.998667,2.51E-07,0.00043378,1.09E-06
0.000100,8.65E-06,0.0115298,10,0.8,0.3,0,462569000,0.38174,0.706527,7.42E-07,0.998667,2.51E-07,0.000297927,7.49E-07
0.000100,6.93E-06,0.00692531,10,0.8,0.4,0,577591000,0.337074,0.822236,5.71E-07,0.998666,2.51E-07,0.000227595,5.72E-07
0.000100,5.93E-06,0.00474307,10,0.8,0.5,0,674668000,0.301605,0.938533,4.67E-07,0.998666,2.51E-07,0.000184694,4.64E-07
0.000100,5.32E-06,0.00354488,10,0.8,0.6,0,752259000,0.272509,1.05654,3.97E-07,0.998665,2.51E-07,0.000155672,3.91E-07
0.000100,4.91E-06,0.00280428,10,0.8,0.7,0,815079000,0.248228,1.17619,3.47E-07,0.998665,2.51E-07,0.000134875,3.39E-07
0.000100,4.58E-06,0.00229239,10,0.8,0.8,0,872451000,0.227849,1.29629,3.10E-07,0.998664,2.51E-07,0.00011952,3.00E-07
0.000500,0.000118755,0.475019,10,0.8,0.1,0,33682900,0.523965,0.469508,1.02E-05,0.998165,1.25E-06,0.00412286,1.04E-05
0.000500,6.15E-05,0.122916,10,0.8,0.2,0,65085300,0.440503,0.590044,5.37E-06,0.998161,1.25E-06,0.00217132,5.46E-06
0.000500,4.33E-05,0.0577033,10,0.8,0.3,0,92426800,0.381736,0.706538,3.71E-06,0.998158,1.25E-06,0.00149131,3.75E-06
0.000500,3.47E-05,0.0346592,10,0.8,0.4,0,115410000,0.337061,0.822274,2.86E-06,0.998156,1.25E-06,0.00113926,2.86E-06
0.000500,2.97E-05,0.0237377,10,0.8,0.5,0,134807000,0.3016,0.938549,2.34E-06,0.998153,1.25E-06,0.000924514,2.32E-06
0.000500,2.66E-05,0.0177319,10,0.8,0.6,0,150388000,0.272513,1.05652,1.99E-06,0.998151,1.25E-06,0.00077933,1.96E-06
0.000500,2.45E-05,0.0140273,10,0.8,0.7,0,162948000,0.248232,1.17616,1.74E-06,0.998148,1.25E-06,0.000675226,1.70E-06
0.000500,2.29E-05,0.0114667,10,0.8,0.8,0,174418000,0.22785,1.29628,1.55E-06,0.998146,1.25E-06,0.000598347,1.50E-06
0.001000,0.000237786,0.951144,10,0.8,0.1,0,16821800,0.523957,0.469518,2.04E-05,0.997536,2.51E-06,0.00825688,2.07E-05
0.001000,0.00012306,0.24612,10,0.8,0.2,0,32504500,0.440485,0.590075,1.07E-05,0.997528,2.51E-06,0.00434869,1.09E-05
0.001000,8.67E-05,0.115543,10,0.8,0.3,0,46159000,0.381723,0.706568,7.42E-06,0.997523,2.51E-06,0.00298681,7.50E-06
0.001000,6.94E-05,0.0694,10,0.8,0.4,0,57636900,0.337038,0.822342,5.72E-06,0.997518,2.51E-06,0.00228175,5.73E-06
0.001000,5.94E-05,0.0475313,10,0.8,0.5,0,67324100,0.301576,0.938638,4.68E-06,0.997513,2.51E-06,0.00185165,4.65E-06
0.001000,5.32E-05,0.0354824,10,0.8,0.6,0,75154600,0.272517,1.0565,3.98E-06,0.997508,2.51E-06,0.00156109,3.92E-06
0.001000,4.91E-05,0.0280693,10,0.8,0.7,0,81431000,0.248237,1.17614,3.47E-06,0.997503,2.51E-06,0.00135256,3.40E-06
0.001000,4.59E-05,0.0229454,10,0.8,0.8,0,87163300,0.227852,1.29627,3.10E-06,0.997499,2.51E-06,0.00119855,3.01E-06
0.005000,0.00120011,4.80045,10,0.8,0.1,0,3333020,0.523884,0.469606,0.000102339,0.992503,1.25E-05,0.041733,0.000104857
0.005000,0.000621134,1.24227,10,0.8,0.2,0,6439830,0.440387,0.590243,5.40E-05,0.992462,1.25E-05,0.0219888,5.52E-05
0.005000,0.000437406,0.583208,10,0.8,0.3,0,9144830,0.381603,0.706841,3.73E-05,0.992436,1.25E-05,0.015104,3.79E-05
0.005000,0.000350302,0.350302,10,0.8,0.4,0,11418700,0.336919,0.822691,2.87E-05,0.992411,1.25E-05,0.0115393,2.90E-05
0.005000,0.000299895,0.239916,10,0.8,0.5,0,13338000,0.301456,0.939076,2.35E-05,0.992386,1.25E-05,0.00936463,2.35E-05
0.005000,0.000267246,0.178164,10,0.8,0.6,0,14967500,0.272555,1.05633,2.00E-05,0.992362,1.25E-05,0.00790416,1.99E-05
0.005000,0.000246642,0.140938,10,0.8,0.7,0,16217900,0.248266,1.17598,1.75E-05,0.992339,1.25E-05,0.00684833,1.72E-05
0.005000,0.000230416,0.115208,10,0.8,0.8,0,17359900,0.227893,1.29601,1.56E-05,0.992317,1.25E-05,0.00606871,1.52E-05
0.010000,0.00242878,9.71511,10,0.8,0.1,0,1646920,0.523797,0.469712,0.000205831,0.986208,2.51E-05,0.084602,0.000212568
0.010000,0.00125717,2.51434,10,0.8,0.2,0,3181750,0.440251,0.590477,0.000108654,0.986125,2.51E-05,0.0446067,0.000112077
0.010000,0.000885338,1.18045,10,0.8,0.3,0,4518050,0.381452,0.707187,7.50E-05,0.986072,2.51E-05,0.0306442,7.70E-05
0.010000,0.000709038,0.709038,10,0.8,0.4,0,5641450,0.336752,0.823183,5.78E-05,0.986022,2.51E-05,0.0234138,5.88E-05
0.010000,0.000607007,0.485605,10,0.8,0.5,0,6589710,0.301295,0.93967,4.73E-05,0.985973,2.51E-05,0.0190023,4.77E-05
0.010000,0.000539938,0.359959,10,0.8,0.6,0,7408260,0.27246,1.05676,4.03E-05,0.985925,2.51E-05,0.0160461,4.03E-05
0.010000,0.000495896,0.283369,10,0.8,0.7,0,8066210,0.248327,1.17565,3.52E-05,0.98588,2.51E-05,0.013917,3.50E-05
0.010000,0.00046326,0.23163,10,0.8,0.8,0,8634460,0.22794,1.2957,3.14E-05,0.985836,2.51E-05,0.0123327,3.10E-05
0.000010,2.37E-06,0.00948956,10,0.9,0.1,0,1686060000,0.470902,0.541195,8.80E-08,0.998781,2.51E-08,3.56E-05,8.95E-08
0.000010,1.23E-06,0.00245549,10,0.9,0.2,0,3258010000,0.367281,0.740904,4.83E-08,0.998781,2.51E-08,1.92E-05,4.82E-08
0.000010,8.65E-07,0.00115274,10,0.9,0.3,0,4626670000,0.301545,0.938752,3.47E-08,0.998781,2.51E-08,1.35E-05,3.40E-08
0.000010,6.92E-07,0.000692385,10,0.9,0.4,0,5777140000,0.255842,1.13622,2.78E-08,0.998781,2.51E-08,1.07E-05,2.69E-08
0.000010,5.93E-07,0.000474207,10,0.9,0.5,0,6748110000,0.222115,1.33405,2.38E-08,0.998781,2.51E-08,9.01E-06,2.26E-08
0.000010,5.32E-07,0.000354454,10,0.9,0.6,0,7523310000,0.196103,1.53312,2.11E-08,0.998781,2.51E-08,7.92E-06,1.99E-08
0.000010,4.91E-07,0.000280402,10,0.9,0.7,0,8151560000,0.175438,1.73334,1.92E-08,0.998781,2.51E-08,7.15E-06,1.80E-08
0.000010,4.58E-07,0.000229218,10,0.9,0.8,0,8725330000,0.158719,1.93348,1.78E-08,0.998781,2.51E-08,6.60E-06,1.66E-08
0.000050,1.19E-05,0.0474522,10,0.9,0.1,0,337181000,0.470901,0.541196,4.40E-07,0.998731,1.25E-07,0.000178069,4.47E-07
0.000050,6.14E-06,0.0122786,10,0.9,0.2,0,651540000,0.367279,0.74091,2.41E-07,0.99873,1.25E-07,9.59E-05,2.41E-07
0.000050,4.32E-06,0.00576423,10,0.9,0.3,0,925247000,0.301544,0.938754,1.73E-07,0.99873,1.25E-07,6.76E-05,1.70E-07
0.000050,3.46E-06,0.00346225,10,0.9,0.4,0,1155320000,0.255839,1.13624,1.39E-07,0.998729,1.25E-07,5.35E-05,1.34E-07
0.000050,2.96E-06,0.00237126,10,0.9,0.5,0,1349490000,0.222112,1.33408,1.19E-07,0.998729,1.25E-07,4.51E-05,1.13E-07
0.000050,2.66E-06,0.00177234,10,0.9,0.6,0,1504600000,0.196104,1.53311,1.05E-07,0.998728,1.25E-07,3.96E-05,9.95E-08
0.000050,2.45E-06,0.00140207,10,0.9,0.7,0,1630240000,0.175438,1.73333,9.60E-08,0.998728,1.25E-07,3.58E-05,8.99E-08
0.000050,2.29E-06,0.00114614,10,0.9,0.8,0,1744990000,0.158722,1.93345,8.90E-08,0.998728,1.25E-07,3.30E-05,8.29E-08
0.000100,2.37E-05,0.0949154,10,0.9,0.1,0,168571000,0.470901,0.541197,8.80E-07,0.998668,2.51E-07,0.000356189,8.95E-07
0.000100,1.23E-05,0.0245601,10,0.9,0.2,0,325732000,0.367279,0.740908,4.83E-07,0.998666,2.51E-07,0.000191823,4.82E-07
0.000100,8.65E-06,0.0115298,10,0.9,0.3,0,462569000,0.301544,0.938757,3.47E-07,0.998665,2.51E-07,0.000135303,3.40E-07
0.000100,6.93E-06,0.00692531,10,0.9,0.4,0,577591000,0.255838,1.13624,2.78E-07,0.998664,2.51E-07,0.000106922,2.69E-07
0.000100,5.93E-06,0.00474307,10,0.9,0.5,0,674668000,0.222111,1.33408,2.38E-07,0.998664,2.51E-07,9.01E-05,2.26E-07
0.000100,5.32E-06,0.00354488,10,0.9,0.6,0,752259000,0.196102,1.53313,2.11E-07,0.998663,2.51E-07,7.92E-05,1.99E-07
0.000100,4.91E-06,0.00280428,10,0.9,0.7,0,815079000,0.175439,1.73333,1.92E-07,0.998662,2.51E-07,7.16E-05,1.80E-07
0.000100,4.58E-06,0.00229239,10,0.9,0.8,0,872451000,0.15872,1.93346,1.78E-07,0.998662,2.51E-07,6.60E-05,1.66E-07
0.000500,0.000118755,0.475019,10,0.9,0.1,0,33682900,0.470896,0.541203,4.40E-06,0.998164,1.25E-06,0.00178302,4.48E-06
0.000500,6.15E-05,0.122916,10,0.9,0.2,0,65085300,0.367274,0.740921,2.41E-06,0.998157,1.25E-06,0.000960238,2.41E-06
0.000500,4.33E-05,0.0577033,10,0.9,0.3,0,92426800,0.301537,0.938779,1.73E-06,0.998152,1.25E-06,0.000677312,1.70E-06
0.000500,3.47E-05,0.0346592,10,0.9,0.4,0,115410000,0.255835,1.13626,1.39E-06,0.998147,1.25E-06,0.000535242,1.34E-06
0.000500,2.97E-05,0.0237377,10,0.9,0.5,0,134807000,0.22211,1.33409,1.19E-06,0.998143,1.25E-06,0.000451246,1.13E-06
0.000500,2.66E-05,0.0177319,10,0.9,0.6,0,150388000,0.196106,1.53309,1.05E-06,0.998139,1.25E-06,0.000396469,9.96E-07
0.000500,2.45E-05,0.0140273,10,0.9,0.7,0,162948000,0.17544,1.73332,9.60E-07,0.998136,1.25E-06,0.000358264,9.00E-07
0.000500,2.29E-05,0.0114667,10,0.9,0.8,0,174418000,0.158721,1.93346,8.91E-07,0.998134,1.25E-06,0.000330417,8.30E-07
0.001000,0.000237786,0.951144,10,0.9,0.1,0,16821800,0.47089,0.541212,8.81E-06,0.997533,2.51E-06,0.00357122,8.97E-06
0.001000,0.00012306,0.24612,10,0.9,0.2,0,32504500,0.367269,0.740934,4.83E-06,0.997521,2.51E-06,0.00192329,4.83E-06
0.001000,8.67E-05,0.115543,10,0.9,0.3,0,46159000,0.30153,0.938806,3.47E-06,0.997509,2.51E-06,0.00135662,3.41E-06
0.001000,6.94E-05,0.0694,10,0.9,0.4,0,57636900,0.255829,1.13629,2.79E-06,0.9975,2.51E-06,0.00107206,2.69E-06
0.001000,5.94E-05,0.0475313,10,0.9,0.5,0,67324100,0.222099,1.33417,2.38E-06,0.997491,2.51E-06,0.000903829,2.27E-06
0.001000,5.32E-05,0.0354824,10,0.9,0.6,0,75154600,0.196104,1.53311,2.11E-06,0.997485,2.51E-06,0.000794155,2.00E-06
0.001000,4.91E-05,0.0280693,10,0.9,0.7,0,81431000,0.175442,1.7333,1.92E-06,0.997479,2.51E-06,0.000717625,1.80E-06
0.001000,4.59E-05,0.0229454,10,0.9,0.8,0,87163300,0.158724,1.93342,1.78E-06,0.997474,2.51E-06,0.000661845,1.66E-06
0.005000,0.00120011,4.80045,10,0.9,0.1,0,3333020,0.470844,0.541281,4.43E-05,0.99249,1.25E-05,0.0180663,4.54E-05
0.005000,0.000621134,1.24227,10,0.9,0.2,0,6439830,0.36721,0.741079,2.43E-05,0.992428,1.25E-05,0.00973064,2.44E-05
0.005000,0.000437406,0.583208,10,0.9,0.3,0,9144830,0.30147,0.939028,1.74E-05,0.992371,1.25E-05,0.00686394,1.72E-05
0.005000,0.000350302,0.350302,10,0.9,0.4,0,11418700,0.255771,1.13658,1.40E-05,0.992322,1.25E-05,0.00542442,1.36E-05
0.005000,0.000299895,0.239916,10,0.9,0.5,0,13338000,0.222046,1.33452,1.20E-05,0.992281,1.25E-05,0.00457336,1.15E-05
0.005000,0.000267246,0.178164,10,0.9,0.6,0,14967500,0.196124,1.53294,1.06E-05,0.992248,1.25E-05,0.00402002,1.01E-05
0.005000,0.000246642,0.140938,10,0.9,0.7,0,16217900,0.175456,1.73314,9.66E-06,0.992219,1.25E-05,0.00363259,9.13E-06
0.005000,0.000230416,0.115208,10,0.9,0.8,0,17359900,0.158738,1.93323,8.96E-06,0.992196,1.25E-05,0.00335021,8.42E-06
0.010000,0.00242878,9.71511,10,0.9,0.1,0,1646920,0.470786,0.541369,8.92E-05,0.986185,2.51E-05,0.0366722,9.21E-05
0.010000,0.00125717,2.51434,10,0.9,0.2,0,3181750,0.367137,0.74126,4.89E-05,0.98606,2.51E-05,0.0197545,4.96E-05
0.010000,0.000885338,1.18045,10,0.9,0.3,0,4518050,0.301395,0.939301,3.51E-05,0.985946,2.51E-05,0.0139356,3.50E-05
0.010000,0.000709038,0.709038,10,0.9,0.4,0,5641450,0.255697,1.13696,2.82E-05,0.985849,2.51E-05,0.0110135,2.77E-05
0.010000,0.000607007,0.485605,10,0.9,0.5,0,6589710,0.221978,1.33498,2.41E-05,0.985767,2.51E-05,0.00928596,2.33E-05
0.010000,0.000539938,0.359959,10,0.9,0.6,0,7408260,0.196081,1.53331,2.14E-05,0.9857,2.51E-05,0.00816374,2.05E-05
0.010000,0.000495896,0.283369,10,0.9,0.7,0,8066210,0.175476,1.73293,1.95E-05,0.985644,2.51E-05,0.00737947,1.85E-05
0.010000,0.00046326,0.23163,10,0.9,0.8,0,8634460,0.158757,1.93298,1.81E-05,0.985596,2.51E-05,0.00680575,1.71E-05
0.000010,2.37E-06,0.00948956,10,1,0.1,0,1686060000,0.416164,0.634299,4.63E-08,0.998781,2.51E-08,1.85E-05,4.65E-08
0.000010,1.23E-06,0.00245549,10,1,0.2,0,3258010000,0.302665,0.934662,2.71E-08,0.998781,2.51E-08,1.05E-05,2.63E-08
0.000010,8.65E-07,0.00115274,10,1,0.3,0,4626670000,0.237808,1.23502,2.07E-08,0.998781,2.51E-08,7.85E-06,1.97E-08
0.000010,6.92E-07,0.000692385,10,1,0.4,0,5777140000,0.195842,1.53539,1.76E-08,0.998781,2.51E-08,6.59E-06,1.66E-08
0.000010,5.93E-07,0.000474207,10,1,0.5,0,6748110000,0.166466,1.83575,1.58E-08,0.998781,2.51E-08,5.85E-06,1.47E-08
0.000010,5.32E-07,0.000354454,10,1,0.6,0,7523310000,0.144753,2.13611,1.45E-08,0.99878,2.51E-08,5.36E-06,1.35E-08
0.000010,4.91E-07,0.000280402,10,1,0.7,0,8151560000,0.12805,2.43647,1.36E-08,0.99878,2.51E-08,5.00E-06,1.26E-08
0.000010,4.58E-07,0.000229218,10,1,0.8,0,8725330000,0.114804,2.73684,1.29E-08,0.99878,2.51E-08,4.76E-06,1.20E-08
0.000050,1.19E-05,0.0474522,10,1,0.1,0,337181000,0.416164,0.634299,2.32E-07,0.99873,1.25E-07,9.25E-05,2.32E-07
0.000050,6.14E-06,0.0122786,10,1,0.2,0,651540000,0.302665,0.934662,1.35E-07,0.998729,1.25E-07,5.24E-05,1.32E-07
0.000050,4.32E-06,0.00576423,10,1,0.3,0,925247000,0.237808,1.23502,1.04E-07,0.998729,1.25E-07,3.93E-05,9.87E-08
0.000050,3.46E-06,0.00346225,10,1,0.4,0,1155320000,0.195842,1.53539,8.82E-08,0.998728,1.25E-07,3.29E-05,8.28E-08
0.000050,2.96E-06,0.00237126,10,1,0.5,0,1349490000,0.166466,1.83575,7.90E-08,0.998728,1.25E-07,2.93E-05,7.35E-08
0.000050,2.66E-06,0.00177234,10,1,0.6,0,1504600000,0.144753,2.13611,7.28E-08,0.998727,1.25E-07,2.68E-05,6.73E-08
0.000050,2.45E-06,0.00140207,10,1,0.7,0,1630240000,0.12805,2.43647,6.82E-08,0.998727,1.25E-07,2.50E-05,6.29E-08
0.000050,2.29E-06,0.00114614,10,1,0.8,0,1744990000,0.114804,2.73684,6.47E-08,0.998727,1.25E-07,2.38E-05,5.99E-08
0.000100,2.37E-05,0.0949154,10,1,0.1,0,168571000,0.416164,0.634299,4.63E-07,0.998667,2.51E-07,0.000185009,4.65E-07
0.000100,1.23E-05,0.0245601,10,1,0.2,0,325732000,0.302665,0.934662,2.71E-07,0.998665,2.51E-07,0.000104779,2.63E-07
0.000100,8.65E-06,0.0115298,10,1,0.3,0,462569000,0.237808,1.23502,2.07E-07,0.998663,2.51E-07,7.86E-05,1.97E-07
0.000100,6.93E-06,0.00692531,10,1,0.4,0,577591000,0.195842,1.53539,1.76E-07,0.998662,2.51E-07,6.59E-05,1.66E-07
0.000100,5.93E-06,0.00474307,10,1,0.5,0,674668000,0.166466,1.83575,1.58E-07,0.998662,2.51E-07,5.85E-05,1.47E-07
0.000100,5.32E-06,0.00354488,10,1,0.6,0,752259000,0.144753,2.13611,1.46E-07,0.998661,2.51E-07,5.36E-05,1.35E-07
0.000100,4.91E-06,0.00280428,10,1,0.7,0,815079000,0.12805,2.43647,1.36E-07,0.99866,2.51E-07,5.01E-05,1.26E-07
0.000100,4.58E-06,0.00229239,10,1,0.8,0,872451000,0.114804,2.73684,1.29E-07,0.99866,2.51E-07,4.77E-05,1.20E-07
0.000500,0.000118755,0.475019,10,1,0.1,0,33682900,0.416164,0.634299,2.32E-06,0.998161,1.25E-06,0.000926157,2.33E-06
0.000500,6.15E-05,0.122916,10,1,0.2,0,65085300,0.302665,0.934662,1.35E-06,0.99815,1.25E-06,0.000524526,1.32E-06
0.000500,4.33E-05,0.0577033,10,1,0.3,0,92426800,0.237808,1.23502,1.04E-06,0.998142,1.25E-06,0.000393271,9.88E-07
0.000500,3.47E-05,0.0346592,10,1,0.4,0,115410000,0.195842,1.53539,8.82E-07,0.998137,1.25E-06,0.000329938,8.29E-07
0.000500,2.97E-05,0.0237377,10,1,0.5,0,134807000,0.166466,1.83575,7.90E-07,0.998133,1.25E-06,0.000292904,7.36E-07
0.000500,2.66E-05,0.0177319,10,1,0.6,0,150388000,0.144753,2.13611,7.28E-07,0.99813,1.25E-06,0.000268333,6.74E-07
0.000500,2.45E-05,0.0140273,10,1,0.7,0,162948000,0.12805,2.43647,6.82E-07,0.998127,1.25E-06,0.000250565,6.30E-07
0.000500,2.29E-05,0.0114667,10,1,0.8,0,174418000,0.114804,2.73684,6.47E-07,0.998125,1.25E-06,0.000238548,5.99E-07
0.001000,0.000237786,0.951144,10,1,0.1,0,16821800,0.416164,0.634299,4.64E-06,0.997528,2.51E-06,0.0018551,4.66E-06
0.001000,0.00012306,0.24612,10,1,0.2,0,32504500,0.302665,0.934662,2.71E-06,0.997506,2.51E-06,0.00105063,2.64E-06
0.001000,8.67E-05,0.115543,10,1,0.3,0,46159000,0.237808,1.23502,2.08E-06,0.99749,2.51E-06,0.000787726,1.98E-06
0.001000,6.94E-05,0.0694,10,1,0.4,0,57636900,0.195842,1.53539,1.77E-06,0.99748,2.51E-06,0.000660868,1.66E-06
0.001000,5.94E-05,0.0475313,10,1,0.5,0,67324100,0.166466,1.83575,1.58E-06,0.997472,2.51E-06,0.00058669,1.47E-06
0.001000,5.32E-05,0.0354824,10,1,0.6,0,75154600,0.144753,2.13611,1.46E-06,0.997465,2.51E-06,0.000537473,1.35E-06
0.001000,4.91E-05,0.0280693,10,1,0.7,0,81431000,0.12805,2.43647,1.37E-06,0.997461,2.51E-06,0.000501884,1.26E-06
0.001000,4.59E-05,0.0229454,10,1,0.8,0,87163300,0.114804,2.73684,1.29E-06,0.997457,2.51E-06,0.000477814,1.20E-06
0.005000,0.00120011,4.80045,10,1,0.1,0,3333020,0.416164,0.634299,2.33E-05,0.992466,1.25E-05,0.00938843,2.36E-05
0.005000,0.000621134,1.24227,10,1,0.2,0,6439830,0.302665,0.934662,1.36E-05,0.992356,1.25E-05,0.00531716,1.34E-05
0.005000,0.000437406,0.583208,10,1,0.3,0,9144830,0.237808,1.23502,1.04E-05,0.992277,1.25E-05,0.00398662,1.00E-05
0.005000,0.000350302,0.350302,10,1,0.4,0,11418700,0.195842,1.53539,8.88E-06,0.992223,1.25E-05,0.0033446,8.40E-06
0.005000,0.000299895,0.239916,10,1,0.5,0,13338000,0.166466,1.83575,7.95E-06,0.992183,1.25E-05,0.00296919,7.46E-06
0.005000,0.000267246,0.178164,10,1,0.6,0,14967500,0.144753,2.13611,7.33E-06,0.992152,1.25E-05,0.00272011,6.83E-06
0.005000,0.000246642,0.140938,10,1,0.7,0,16217900,0.12805,2.43647,6.87E-06,0.992129,1.25E-05,0.00253999,6.38E-06
0.005000,0.000230416,0.115208,10,1,0.8,0,17359900,0.114804,2.73684,6.51E-06,0.992111,1.25E-05,0.00241818,6.08E-06
0.010000,0.00242878,9.71511,10,1,0.1,0,1646920,0.416164,0.634299,4.69E-05,0.986139,2.51E-05,0.019067,4.79E-05
0.010000,0.00125717,2.51434,10,1,0.2,0,3181750,0.302665,0.934662,2.74E-05,0.985918,2.51E-05,0.0107988,2.71E-05
0.010000,0.000885338,1.18045,10,1,0.3,0,4518050,0.237808,1.23502,2.10E-05,0.985761,2.51E-05,0.00809657,2.03E-05
0.010000,0.000709038,0.709038,10,1,0.4,0,5641450,0.195842,1.53539,1.79E-05,0.985651,2.51E-05,0.00679266,1.71E-05
0.010000,0.000607007,0.485605,10,1,0.5,0,6589710,0.166466,1.83575,1.60E-05,0.985571,2.51E-05,0.00603022,1.52E-05
0.010000,0.000539938,0.359959,10,1,0.6,0,7408260,0.144753,2.13611,1.48E-05,0.985511,2.51E-05,0.00552435,1.39E-05
0.010000,0.000495896,0.283369,10,1,0.7,0,8066210,0.12805,2.43647,1.38E-05,0.985464,2.51E-05,0.00515855,1.30E-05
0.010000,0.00046326,0.23163,10,1,0.8,0,8634460,0.114804,2.73684,1.31E-05,0.985428,2.51E-05,0.00491116,1.23E-05
0.000010,2.37E-06,0.00948956,15,0.3,0.1,0,2529100000,0.653229,0.343619,2.75E-05,0.998781,2.51E-08,0.0128382,3.23E-05
0.000010,1.23E-06,0.00245549,15,0.3,0.2,0,4887010000,0.644265,0.350718,2.69E-05,0.998781,2.51E-08,0.012291,3.09E-05
0.000010,8.65E-07,0.00115274,15,0.3,0.3,0,6940000000,0.639281,0.354752,2.65E-05,0.998781,2.51E-08,0.0118888,2.99E-05
0.000010,6.92E-07,0.000692385,15,0.3,0.4,0,8665710000,0.635725,0.357669,2.60E-05,0.998781,2.51E-08,0.011545,2.90E-05
0.000010,5.93E-07,0.000474207,15,0.3,0.5,0,10122200000,0.632938,0.359978,2.56E-05,0.998781,2.51E-08,0.0112404,2.82E-05
0.000010,5.32E-07,0.000354454,15,0.3,0.6,0,11285000000,0.630587,0.361941,2.52E-05,0.998781,2.51E-08,0.0109526,2.75E-05
0.000010,4.91E-07,0.000280402,15,0.3,0.7,0,12227300000,0.628608,0.363605,2.48E-05,0.998781,2.51E-08,0.0106827,2.68E-05
0.000010,4.58E-07,0.000229218,15,0.3,0.8,0,13088000000,0.626927,0.365027,2.44E-05,0.998781,2.51E-08,0.0104445,2.62E-05
0.000050,1.19E-05,0.0474522,15,0.3,0.1,0,505772000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,6.14E-06,0.0122786,15,0.3,0.2,0,977310000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,4.32E-06,0.00576423,15,0.3,0.3,0,1387870000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,3.46E-06,0.00346225,15,0.3,0.4,0,1732980000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,2.96E-06,0.00237126,15,0.3,0.5,0,2024240000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,2.66E-06,0.00177234,15,0.3,0.6,0,2256900000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,2.45E-06,0.00140207,15,0.3,0.7,0,2445370000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,2.29E-06,0.00114614,15,0.3,0.8,0,2617490000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000100,2.37E-05,0.0949154,15,0.3,0.1,0,252857000,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,1.23E-05,0.0245601,15,0.3,0.2,0,488598000,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,8.65E-06,0.0115298,15,0.3,0.3,0,693854000,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
